Date,IWO,TLT,QQQ
3/22/2018,189.56633,112.907623,159.267151
3/23/2018,185.415024,112.823105,155.070221
3/26/2018,189.723343,112.391235,160.832397
3/27/2018,185.532776,113.592964,155.627884
3/28/2018,184.620056,113.893425,153.837601
3/29/2018,187.02449,114.447334,156.655106
4/2/2018,182.05864,114.673134,152.135345
4/3/2018,184.286423,113.788727,153.847382
4/4/2018,187.004883,113.553505,156.273575
4/5/2018,188.182541,112.706726,157.163788
4/6/2018,184.482666,113.93927,153.231049
4/9/2018,185.169678,114.127457,154.307129
4/10/2018,188.702682,113.920456,157.711655
4/11/2018,189.19339,114.32502,156.801834
4/12/2018,190.734192,113.487663,158.689941
4/13/2018,189.478012,113.751091,157.868164
4/16/2018,191.058029,113.788727,159.071503
4/17/2018,193.88446,114.099236,162.49556
4/18/2018,194.394791,113.186592,162.828125
4/19/2018,192.539963,112.264496,161.33136
4/20/2018,191.175827,111.45536,158.77803
4/23/2018,190.439758,111.483589,158.376892
4/24/2018,188.555511,110.975525,155.021347
4/25/2018,188.015717,110.232269,155.207214
4/26/2018,189.271896,111.003738,158.474731
4/27/2018,188.918579,111.859955,158.572556
4/30/2018,187.436707,112.057564,157.447525
5/1/2018,188.506424,111.653961,159.247589
5/2/2018,189.39949,111.531387,158.308441
5/3/2018,188.261047,112.031128,158.288864
5/4/2018,190.488831,112.200874,161.292252
5/7/2018,192.402557,112.021698,162.632507
5/8/2018,193.295639,111.917984,162.466187
5/9/2018,194.434067,111.248459,164.236923
5/10/2018,195.680389,112.144272,165.939148
5/11/2018,196.200562,112.427185,165.782639
5/14/2018,195.405624,111.833122,166.06636
5/15/2018,195.238785,110.560135,164.227127
5/16/2018,197.348755,110.135803,165.313019
5/17/2018,198.016113,109.579498,164.677139
5/18/2018,198.506836,110.5224,163.826035
5/21/2018,199.301773,110.578987,164.745636
5/22/2018,197.319351,110.409271,164.530411
5/23/2018,197.65303,111.210785,165.919601
5/24/2018,197.88858,112.097122,165.870651
5/25/2018,197.751129,112.794907,166.036972
5/29/2018,197.603943,115.265427,165.303268
5/30/2018,200.597198,114.49218,166.487
5/31/2018,199.105469,114.303635,166.379379
6/1/2018,200.960327,113.699692,168.99147
6/4/2018,201.637497,112.877426,170.517593
6/5/2018,203.237137,113.142059,171.045898
6/6/2018,204.925156,112.225273,172.043747
6/7/2018,202.864273,113.312172,170.644775
6/8/2018,204.022278,112.971947,170.654541
6/11/2018,204.738693,112.764015,171.114395
6/12/2018,206.573868,112.792343,172.014389
6/13/2018,206.171539,112.735641,172.004623
6/14/2018,207.731949,113.671326,173.746033
6/15/2018,207.888962,113.775291,173.13942
6/18/2018,208.850754,113.671326,173.039429
6/19/2018,208.575943,114.332924,172.54924
6/20/2018,210.371887,113.331116,173.774734
6/21/2018,207.830063,113.926529,172.264923
6/22/2018,206.230423,113.917038,171.882599
6/25/2018,201.9319,114.172241,168.010025
6/26/2018,203.580643,114.332924,168.696304
6/27/2018,199.458771,115.410385,166.402176
6/28/2018,200.499084,115.438744,167.833527
6/29/2018,200.528503,115.041779,168.284515
7/2/2018,202.47168,114.951782,169.411972
7/3/2018,203.085983,115.56749,167.451202
7/5/2018,205.602188,115.899055,169.529617
7/6/2018,207.538467,116.277954,172.16687
7/9/2018,208.590195,115.529633,173.715897
7/10/2018,207.341919,115.520149,173.843369
7/11/2018,206.083817,115.965332,172.960999
7/12/2018,207.941483,115.955887,175.941406
7/13/2018,207.597473,116.249557,176.088455
7/16/2018,206.349197,115.766449,175.666885
